firstName,lastName,dateOfBirth,height,weight,primaryPosition,jerseyNumber,phone,email,bodyFat,fitnessScore,topSpeed,tackles,carries,tries,passAccuracy,currentStatus,coachingNotes
Lotu,Inisi,1995-08-30,190,100,Loose Forwards,9,555-888-9999,lotu.inisi@example.com,9.8,90,30.5,12,7,3,93,Development,Fast and agile.
Tamarau,McGahan,1996-04-11,189,99,Loose Forwards,24,555-999-0000,tamarau.mcgahan@example.com,9.6,91,30.8,13,8,2,91,Active,Impact player.
Jed,Melvin,1997-10-01,186,96,Loose Forwards,10,555-000-1111,jed.melvin@example.com,9.2,92,31.2,14,7,1,91.5,Active,Strong over the ball.
Karl,Ruzich,1998-05-19,185,95,Loose Forwards,25,555-111-0000,karl.ruzich@example.com,9.1,93,31.4,15,8,2,92.5,Active,Consistent tackler.
Wallace,Sititi,1999-01-27,191,101,Loose Forwards,11,555-222-1111,wallace.sititi@example.com,10,89,30,11,6,1,93,Active,Good support play.
Cameron,Suafoa,1994-06-03,192,103,Loose Forwards,26,555-333-2222,cameron.suafoa@example.com,10.1,88,29.9,10,5,0,90.5,Active,Powerful runner.
Aisea,Halo,1998-07-21,175,80,Halfbacks,12,555-444-3333,aisea.halo@example.com,8.5,95,33,5,3,1,89.8,Active,Strong defensive presence.
Bryn,Hall,1993-03-08,178,82,Halfbacks,27,555-555-4444,bryn.hall@example.com,8.8,93,32.5,6,4,0,94.5,Active,Quick service.
Siaosi,Nginingini,1997-09-16,176,81,Halfbacks,13,555-666-5555,siaosi.nginingini@example.com,8.6,94,32.8,5,3,1,93,Active,Experienced game manager.
Tane,Edmed,2000-04-29,180,85,First-Fives,10,555-777-6666,tane.edmed@example.com,9,92,31,4,2,0,94,Active,Good kicking game.
Cam,Howell,2001-11-05,179,84,First-Fives,28,555-888-7777,cam.howell@example.com,8.9,93,31.5,3,2,0,90,Active,Promising playmaker.
Oscar,Koller,1999-02-14,182,86,First-Fives,14,555-999-8888,oscar.koller@example.com,9.1,91,30.8,4,3,1,91,Development,Good vision.
Tom,Barham,1997-07-01,184,90,Midfielders,12,555-000-9999,tom.barham@example.com,9.5,90,30,8,6,2,89.5,Active,Reliable goal kicker.
Leo,Gordon,2000-03-23,183,89,Midfielders,29,555-111-0000,leo.gordon@example.com,9.4,91,30.5,9,7,1,88,Active,Strong attacking threat.
Moses,Leo,1998-08-17,185,91,Midfielders,13,555-222-1111,moses.leo@example.com,9.6,89,29.8,7,5,2,89,Active,Good passing range.
James,Little,1996-05-09,186,92,Midfielders,30,555-333-2222,james.little@example.com,9.7,88,29.5,8,6,1,87.5,Active,Physical in contact.
Kade,Banks,1998-01-04,180,85,Outside Backs,15,555-444-3333,kade.banks@example.com,8,94,34,6,8,3,87,Active,Experienced centre.
Tima,Fainga’anuku,2000-09-12,182,87,Outside Backs,31,555-555-4444,tima.faingaanuku@example.com,8.2,93,33.5,7,9,4,90,Active,Fast and elusive.
Fine,Inisi,1997-06-28,181,86,Outside Backs,16,555-666-5555,fine.inisi@example.com,8.1,92,33.8,6,8,3,91,Active,Powerful runner.
Sofai,Maka,1999-03-07,178,83,Outside Backs,32,555-777-6666,sofai.maka@example.com,7.9,95,34.5,5,7,2,90.5,Active,Great finisher.
Hunter,Rice,2002-10-20,179,84,Outside Backs,33,555-888-7777,hunter.rice@example.com,8,94,34.2,6,8,3,91.5,Active,Very quick.
Shaun,Stevenson,1996-04-15,185,88,Outside Backs,17,555-999-8888,shaun.stevenson@example.com,8.3,91,33,7,9,4,90.8,Development,Promising winger.
Mark,Tele’a,1995-07-24,184,87,Outside Backs,34,555-000-1111,mark.telea@example.com,8.2,92,33.2,8,10,5,89,Active,Experienced fullback.
